asset_id,prediction
625efa066c0c4b0db60fdde37ee69dd1,0
8fba0fc071f64b2dac04ce94af1ac507,0
403ba72ed9814fa39c263b9f8cc2f279,0
cc1e29749214485994e9b2648e104ac9,0
d5a55a3493f144b8a6439e472c181168,0
3c44a918aa9c47d58bafc7782c42ce55,0
e02635828ef94bfe9fab2b2a30a554ab,0
c20b841896944149b80dcb61f8f4570c,0
bb948833a1a646b9a4eddff5d0874d31,0
5ac890118e7e4c86a2b84ceaeedef699,0
6d90810b7a2b4e4dacb6d55ddd30308f,0
b4e6a453789d4eba879f9a75e00c97bf,0
4185906e4c0c4a1583ed5580ab9d1fc7,0
e93cc1b091f84851bfbe2486c7d0a47f,0
689137aaeb324c0d91608d3a092210d8,0
1927c71a2e3c4c6ebc45e89fde7a61be,0
49a9889da58a4c3d865b20e4a286e8a8,0
30ea196bf60f46a392889b601b2d077d,0
cccc93b8f07b41538abd54127be94571,0
3a8f6841fb714acca73a8970de0f7b67,0
49d384bac2a949ae902f6c1677b0f4ec,0
5b5d16911009405b8a907e2e53eaa0d9,0
da0c19c1a2cb42eaaea9b52a5c3ee6ac,0
e7a23c54981d40a5aa121bf7425e0cbe,0
c5fcc8c3bf1243afbcfda8a21c797ea1,0